"timestamp","total_lots","lot_type","lots_available","carpark_number","update_datetime"
"2023-10-01T10:51:26+08:00","105","C","0","HE12","2023-10-01T10:50:55"
"","583","C","318","HLM","2023-10-01T10:50:43"
"","329","C","96","RHM","2023-10-01T10:50:55"
"","97","C","0","BM29","2023-10-01T10:50:43"
"","96","C","15","Q81","2023-10-01T10:50:27"
"","176","C","0","C20","2023-10-01T10:50:24"
"","228","C","64","FR3M","2023-10-01T10:50:28"
"","289","C","200","C32","2023-10-01T10:50:45"
"","332","C","89","C6","2023-10-01T10:50:37"
"","273","C","87","TG2","2023-10-01T10:50:37"
"","577","C","306","BP1","2023-10-01T10:50:39"
"","133","C","77","TG1","2023-10-01T10:50:54"
"","189","C","131","TGM2","2023-10-01T10:50:37"
"","134","C","27","TE14","2023-10-01T10:50:32"
"","5","C","0","BM3","2023-10-01T10:50:28"
"","612","C","121","BM9","2018-12-17T07:42:34"
"","155","C","0","HG44","2023-10-01T10:50:29"
"","82","C","0","HG64","2023-10-01T10:49:49"
"","326","C","173","PM27","2023-10-01T10:43:07"
"","305","C","165","PM28","2023-10-01T10:49:38"
"","225","C","118","TM36","2023-10-01T10:49:24"
"","244","C","116","TM37","2023-10-01T10:49:09"
"","350","C","126","T50","2023-10-01T10:49:24"
"","346","C","95","T51","2023-10-01T10:49:32"
"","247","C","117","TM43","2023-10-01T10:49:58"
"","30","C","1","T15","2023-10-01T10:49:58"
"","109","C","40","T16","2023-10-01T10:49:04"
"","228","C","25","T17","2023-10-01T10:49:58"
"","81","C","0","T18","2023-10-01T10:49:59"
"","213","C","116","B9","2023-10-01T10:50:43"
"","516","C","189","B10","2023-10-01T10:50:48"
"","208","C","61","B14","2018-10-29T09:18:49"
"","143","C","7","WCB","2023-10-01T10:49:54"
"","93","C","0","ACB","2023-10-01T10:50:23"
"","28","C","3","CY","2023-10-01T10:50:23"
"","403","C","139","AM46","2023-10-01T10:50:36"
"","194","C","72","A12","2023-10-01T10:51:23"
"","363","C","136","BE45","2023-10-01T10:50:57"
"","705","C","105","BE39","2023-10-01T10:50:34"
"","339","C","201","BE40","2019-06-18T10:58:35"
"","453","C","258","Y79M","2023-10-01T10:49:54"
"","56","C","0","CR29","2023-10-01T10:50:25"
"","345","C","216","KLM","2023-10-01T10:50:14"
"","270","C","88","SE34","2023-10-01T10:51:16"
"","65","C","0","KB7","2023-10-01T10:50:43"
"","187","C","61","SE31","2023-10-01T10:51:08"
"","15","C","0","J56","2023-10-01T10:50:34"
"","362","C","0","J57","2023-10-01T10:50:54"
"","13","C","3","J57L","2023-10-01T10:50:54"
"","129","C","73","J33","2023-10-01T10:48:55"
"","123","C","59","J34","2023-10-01T10:50:54"
"","679","C","0","BL8","2023-10-01T10:50:32"
"","482","C","164","J36","2023-10-01T10:50:48"
"","226","C","32","J54","2023-10-01T10:50:58"
"","141","C","19","J55","2023-10-01T10:50:10"
"","190","C","72","J43","2023-10-01T10:50:56"
"","63","C","0","J46","2023-10-01T10:49:52"
"","239","C","44","KB1","2023-10-01T10:50:47"
"","677","C","431","GBM","2023-10-01T10:50:47"
"","187","C","62","SE14","2023-10-01T10:51:04"
"","591","C","409","SE50","2023-10-01T10:51:04"
"","206","C","2","J40","2023-10-01T10:50:45"
"","268","C","164","JM1","2023-10-01T10:50:41"
"","199","C","92","J32","2023-10-01T10:50:41"
"","410","C","93","A11","2023-10-01T10:50:49"
"","391","C","183","TR1","2023-10-01T10:49:52"
"","342","C","247","JBM","2023-10-01T10:50:35"
"","213","C","137","TE2","2023-10-01T10:50:30"
"","93","C","0","CR31","2023-10-01T10:46:45"
"","368","C","198","J1","2023-10-01T10:50:46"
"","200","C","94","J2","2023-10-01T10:50:06"
"","308","C","186","J3","2023-10-01T10:50:48"
"","1163","C","514","T37","2023-10-01T10:47:13"
"","149","C","13","KB3","2023-10-01T10:50:39"
"","239","C","146","KBM","2023-10-01T10:50:23"
"","172","C","72","J4","2023-10-01T10:50:41"
"","388","C","263","TGM1","2023-10-01T10:50:37"
"","208","C","109","TG3","2023-10-01T10:50:51"
"","176","C","85","TG6","2023-10-01T10:50:51"
"","362","C","91","TG7","2023-10-01T10:50:52"
"","54","C","2","CR30","2023-10-01T10:50:58"
"","151","C","23","RCM","2023-10-01T10:50:58"
"","286","C","110","EPM","2023-10-01T10:50:23"
"","553","C","299","TGM3","2023-10-01T10:50:54"
"","58","C","0","KB14","2023-10-01T10:50:51"
"","350","C","163","J41","2023-10-01T10:50:08"
"","144","C","23","JBM2","2023-10-01T10:50:30"
"","250","C","78","J39","2023-10-01T10:49:43"
"","626","C","217","J52","2023-10-01T10:50:30"
"","655","C","399","J51","2023-10-01T10:50:40"
"","215","C","99","J53","2023-10-01T10:50:28"
"","881","C","372","T19","2023-10-01T10:49:46"
"","922","C","644","J49","2023-10-01T10:50:06"
"","291","C","126","J27","2023-10-01T10:50:14"
"","43","C","18","TB14","2023-10-01T10:50:39"
"","501","C","0","U19","2023-10-01T10:49:55"
"","95","C","0","U6","2023-10-01T10:49:56"
"","159","C","59","U45","2023-10-01T10:49:55"
"","175","C","76","BBM7","2023-10-01T10:50:25"
"","459","C","129","BE12","2023-10-01T10:50:57"
"","461","C","199","HG41","2023-10-01T10:50:37"
"","487","C","256","HG43","2023-10-01T10:51:03"
"","257","C","126","MN1","2023-10-01T10:50:44"
"","355","C","214","MNRM","2023-10-01T10:50:00"
"","303","C","118","MN2","2023-10-01T10:49:50"
"","30","C","9","C7","2023-10-01T10:50:46"
"","139","C","80","C17","2023-10-01T10:47:03"
"","35","Y","0","",""
"","1","H","0","",""
"","550","C","333","C20M","2023-10-01T10:50:41"
"","202","C","0","T41","2023-08-13T08:55:04"
"","86","C","0","T42","2023-08-13T08:59:07"
"","261","C","203","TM42","2023-08-14T17:50:27"
"","745","C","326","J48","2023-10-01T10:50:14"
"","57","C","35","BH1","2023-10-01T10:50:34"
"","47","C","29","BH2","2023-10-01T10:49:55"
"","172","C","69","BKE7","2023-10-01T10:50:05"
"","152","C","50","BR5","2023-10-01T10:50:32"
"","406","C","220","BRM3","2023-10-01T10:49:34"
"","176","C","45","BRM4","2023-10-01T10:50:42"
"","124","C","23","M16","2023-10-01T10:50:37"
"","36","C","2","M20","2023-10-01T10:49:48"
"","91","C","38","M35","2023-10-01T10:50:10"
"","17","C","0","M36","2023-10-01T10:50:07"
"","35","C","8","M37","2023-10-01T10:51:07"
"","39","C","12","M38","2023-10-01T10:49:01"
"","222","C","128","MM3","2023-10-01T10:49:50"
"","220","C","82","MP12","2023-10-01T10:50:16"
"","396","C","195","MP13","2023-10-01T10:50:16"
"","522","C","225","MP1M","2023-10-01T10:50:20"
"","257","C","83","PP1","2023-10-01T10:50:27"
"","192","C","84","PP2","2023-10-01T10:50:59"
"","345","C","122","PP3","2023-10-01T10:50:36"
"","166","C","43","PP4","2023-10-01T10:50:33"
"","346","C","149","PP5","2023-10-01T10:50:54"
"","83","C","0","TP10","2023-10-01T10:50:50"
"","53","C","20","TP14","2023-10-01T10:48:00"
"","668","C","321","TP16","2023-10-01T10:49:52"
"","119","C","20","TP17","2023-10-01T10:49:57"
"","383","C","146","TP18","2023-10-01T10:49:57"
"","85","C","0","TP2","2023-10-01T10:49:48"
"","116","C","28","TPMG","2023-10-01T10:49:59"
"","250","C","76","TP36","2023-10-01T10:49:50"
"","343","C","168","TPM4","2023-10-01T10:49:48"
"","342","C","208","TPM5","2023-10-01T10:49:48"
"","358","C","204","TPM6","2023-10-01T10:49:50"
"","257","C","0","TP27","2023-10-01T10:49:59"
"","815","C","514","TPMN","2023-10-01T10:49:58"
"","808","C","400","TPMP","2023-10-01T10:49:56"
"","75","C","34","WDB1","2023-10-01T10:49:34"
"","823","C","408","Y23","2023-10-01T10:51:23"
"","181","C","83","Y24","2023-10-01T10:51:24"
"","45","C","6","Y56","2023-10-01T10:50:57"
"","406","C","273","BBM1","2023-10-01T10:50:50"
"","329","C","164","BBM8","2023-10-01T10:49:40"
"","310","C","112","BJ10","2023-10-01T10:49:52"
"","100","C","36","BJ11","2023-10-01T10:47:33"
"","550","C","208","BJ12","2023-10-01T10:50:03"
"","172","C","100","BJ17","2023-10-01T10:50:04"
"","324","C","156","BJ18","2023-10-01T10:50:04"
"","669","C","441","BJ28","2023-10-01T10:49:42"
"","1054","C","369","BJ3","2023-10-01T10:50:32"
"","366","C","261","BJ33","2023-10-01T10:49:52"
"","450","C","136","BJ42","2023-10-01T10:50:30"
